model_name,fid,frds,test_recon_loss
ld-4-beta-0-gamma-1000,10.936588287353516,63.780784606933594,5334.8994140625
ld-4-beta-1-gamma-1000,10.941767692565918,63.83732986450195,5336.28564453125
ld-16-beta-1-gamma-2000,14.27994441986084,75.40843200683594,6353.06103515625
ld-16-beta-0-gamma-2000,14.277176856994629,75.49017333984375,6353.5556640625
ld-2-beta-1-gamma-5,84.7185287475586,78.7431640625,5427.0810546875
ld-16-beta-0-gamma-5000,15.405964851379395,86.52813720703125,7291.9052734375
ld-16-beta-1-gamma-5000,15.430224418640137,87.04192352294922,7290.3017578125
ld-6-beta-1-gamma-2000,15.46264362335205,87.07752227783203,5880.078125
ld-6-beta-0-gamma-2000,15.467626571655273,87.0807113647461,5878.52880859375
ld-8-beta-1-gamma-2000,14.558708190917969,87.09500885009766,6094.552734375
ld-8-beta-0-gamma-2000,14.562868118286133,87.11505889892578,6093.82666015625
ld-4-beta-1-gamma-2000,15.053548812866211,89.30583953857422,6065.23193359375
ld-4-beta-0-gamma-2000,15.052328109741211,89.32266235351562,6064.27978515625
ld-2-beta-0-gamma-5000,18.0772705078125,90.8384017944336,7036.39404296875
ld-2-beta-1-gamma-5000,17.980329513549805,91.64569854736328,7035.23583984375
ld-2-beta-0-gamma-5,87.61714172363281,91.69278717041016,5407.603515625
ld-6-beta-0-gamma-5000,15.251067161560059,91.7639389038086,7377.314453125
ld-6-beta-1-gamma-5000,15.27683162689209,91.8087158203125,7405.142578125
ld-4-beta-0-gamma-5000,15.774930000305176,100.78791809082031,7190.5830078125
ld-4-beta-1-gamma-5000,15.784382820129395,100.84122467041016,7192.46875
ld-2-beta-1-gamma-2000,17.173057556152344,104.0644760131836,6283.28955078125
ld-2-beta-0-gamma-2000,17.155376434326172,104.26789093017578,6282.22412109375
ld-4-beta-1-gamma-2,37.14085388183594,104.51689910888672,3416.5009765625
ld-8-beta-1-gamma-5000,15.489252090454102,108.01204681396484,7845.4208984375
ld-8-beta-1-gamma-50,23.70992660522461,108.56275177001953,2146.94140625
ld-16-beta-1-gamma-50,18.556324005126953,110.3293228149414,1904.7864990234375
ld-16-beta-0-gamma-50,18.633214950561523,111.68014526367188,1893.096923828125
ld-2-beta-1-gamma-1000,17.42086410522461,111.76725006103516,6025.74658203125
ld-2-beta-0-gamma-1000,17.418766021728516,111.78003692626953,6024.9521484375
ld-8-beta-0-gamma-50,24.06262969970703,112.34217834472656,2141.992919921875
ld-2-beta-0-gamma-500,17.944795608520508,114.85872650146484,5776.82763671875
ld-2-beta-1-gamma-500,17.9382381439209,114.86746215820312,5777.62841796875
ld-2-beta-1-gamma-100,20.92675018310547,116.05818939208984,5566.14599609375
ld-2-beta-0-gamma-100,21.00365447998047,116.09123229980469,5564.22607421875
ld-2-beta-1-gamma-10,70.71575927734375,117.29744720458984,5486.10498046875
ld-2-beta-1-gamma-200,18.98904037475586,118.75645446777344,5579.1328125
ld-2-beta-0-gamma-200,19.00615119934082,118.83104705810547,5578.17578125
ld-2-beta-0-gamma-50,27.89361572265625,121.48274230957031,5415.42822265625
ld-2-beta-1-gamma-50,27.62727928161621,121.6558837890625,5417.888671875
