model_name,gen/frds,gen/anatomically_valid,loss/dsc
ld-2-beta-0-gamma-1000,640.2937622070312,0.6347583532333374,0.6457699537277222
ld-2-beta-0-gamma-5000,643.4373779296875,0.7583643198013306,0.6460244059562683
ld-8-beta-0-gamma-5,644.5211181640625,0.0,0.8706461787223816
ld-2-beta-1-gamma-5000,648.0848999023438,0.6821561455726624,0.6460449695587158
ld-16-beta-1-gamma-1000,649.7958374023438,0.25278809666633606,0.8945540189743042
ld-16-beta-1-gamma-20,652.8717651367188,0.07342007756233215,0.9021033048629761
ld-2-beta-0-gamma-5,672.28173828125,0.09386616945266724,0.6481037139892578
ld-4-beta-1-gamma-1,679.9530029296875,0.2184014916419983,0.7859203219413757
ld-2-beta-1-gamma-200,680.038818359375,0.6802973747253418,0.6454696655273438
ld-16-beta-1-gamma-500,697.753173828125,0.2239776998758316,0.8973991274833679
ld-16-beta-0-gamma-500,705.8114624023438,0.2741635739803314,0.8961865305900574
ld-16-beta-0-gamma-20,707.5431518554688,0.10594795644283295,0.8977090716362
ld-6-beta-1-gamma-1000,714.792236328125,0.5743494629859924,0.8607515096664429
ld-2-beta-0-gamma-10,719.4181518554688,0.3336431086063385,0.6472715139389038
ld-4-beta-1-gamma-2,728.4739990234375,0.3252788186073303,0.7966378927230835
ld-6-beta-1-gamma-20,760.56201171875,0.34293681383132935,0.8558371067047119
ld-2-beta-0-gamma-1,768.4082641601562,0.0,0.6484653949737549
ld-8-beta-1-gamma-20,792.8406982421875,0.4042750895023346,0.8653686046600342
ld-16-beta-0-gamma-1000,810.5821533203125,0.160780668258667,0.892173707485199
ld-16-beta-1-gamma-10,847.5166625976562,0.08921933174133301,0.8981850743293762
ld-8-beta-0-gamma-10,978.4694213867188,0.2741635739803314,0.8768773078918457
ld-8-beta-0-gamma-500,979.759765625,0.6301115155220032,0.8686460256576538
ld-4-beta-0-gamma-10,981.9158325195312,0.09665427356958389,0.7962309718132019
ld-6-beta-0-gamma-2000,1000.9864501953125,0.5585501790046692,0.8607664108276367
ld-2-beta-0-gamma-2,1016.8799438476562,0.0,0.6480677127838135
ld-16-beta-1-gamma-5,1064.5123291015625,0.07620818167924881,0.9030242562294006
ld-16-beta-1-gamma-2,1164.093994140625,0.046468403190374374,0.904147744178772
ld-16-beta-1-gamma-1,1164.904052734375,0.04368029907345772,0.9050042629241943
ld-8-beta-1-gamma-10,1262.6204833984375,0.31598514318466187,0.8753470778465271
ld-6-beta-0-gamma-1000,1390.114501953125,0.4089219272136688,0.8611128926277161
ld-16-beta-0-gamma-10,1451.5150146484375,0.05947955325245857,0.8984055519104004
ld-6-beta-1-gamma-10,1772.77880859375,0.2685873508453369,0.8593795895576477
ld-8-beta-1-gamma-5,1904.947998046875,0.25464683771133423,0.865872323513031
ld-16-beta-0-gamma-5,1994.30419921875,0.0027881041169166565,0.9036630988121033
ld-8-beta-1-gamma-2,2258.937255859375,0.1923791766166687,0.8723417520523071
ld-6-beta-0-gamma-10,2266.7587890625,0.0009293680195696652,0.8601500988006592
ld-8-beta-1-gamma-1,2431.297119140625,0.17193308472633362,0.8759666681289673
ld-8-beta-0-gamma-2,2470.703857421875,0.0,0.863321840763092
ld-8-beta-0-gamma-1,2522.86474609375,0.0,0.8686494827270508
ld-6-beta-1-gamma-5,2540.206787109375,0.08271375298500061,0.8600428700447083
ld-6-beta-1-gamma-1,2717.984619140625,0.02695167250931263,0.8588146567344666
ld-6-beta-1-gamma-2,2777.577392578125,0.03996282443404198,0.8598822951316833
ld-4-beta-0-gamma-5,2802.87548828125,0.036245353519916534,0.8003451824188232
ld-4-beta-0-gamma-1,2926.059814453125,0.0018587360391393304,0.7910040616989136
ld-6-beta-0-gamma-1,3440.72119140625,0.0,0.8581766486167908
ld-16-beta-0-gamma-1,3869.123046875,0.0,0.9046305418014526
ld-16-beta-0-gamma-2,4319.150390625,0.0,0.9041382670402527
ld-6-beta-0-gamma-2,4571.32470703125,0.0,0.8529672026634216
ld-4-beta-0-gamma-2,4923.1708984375,0.02509293705224991,0.8009244799613953
ld-6-beta-0-gamma-5,5751.01513671875,0.0,0.8597000241279602
